trial_id,target_distance,estimated_distance,object_label,timestamp
1,2.0,1.9508,chair,2026-05-30T15:37:02.282Z
2,0.5,0.4913,chair,2026-05-30T15:37:15.694Z
3,3.0,2.9215,chair,2026-05-30T15:37:31.585Z
4,0.5,0.4868,chair,2026-05-30T15:37:53.334Z
5,1.5,1.5600,chair,2026-05-30T15:38:10.928Z
6,1.0,0.9128,chair,2026-05-30T15:38:32.332Z
7,3.0,2.9992,chair,2026-05-30T15:38:48.350Z
8,5.0,4.8413,chair,2026-05-30T15:39:11.235Z
9,5.0,4.9162,chair,2026-05-30T15:39:32.019Z
10,2.0,1.8973,chair,2026-05-30T15:40:33.131Z
11,1.0,0.8893,chair,2026-05-30T15:40:44.400Z
12,3.0,2.9176,chair,2026-05-30T15:40:58.334Z
13,0.5,0.4604,chair,2026-05-30T15:41:19.414Z
14,1.5,1.5724,chair,2026-05-30T15:41:33.686Z
15,1.0,0.9076,chair,2026-05-30T15:41:46.082Z
16,0.5,0.4986,chair,2026-05-30T15:41:58.853Z
17,3.0,2.9084,chair,2026-05-30T15:42:15.851Z
18,3.0,2.9029,chair,2026-05-30T15:42:23.976Z
19,1.0,0.9180,chair,2026-05-30T15:42:37.604Z
20,1.5,1.4505,chair,2026-05-30T15:42:52.253Z
21,5.0,4.8820,chair,2026-05-30T15:43:04.957Z
22,2.0,1.8945,chair,2026-05-30T15:44:05.174Z
23,1.0,0.9250,chair,2026-05-30T15:44:27.459Z
24,5.0,4.8927,chair,2026-05-30T15:44:42.616Z
25,5.0,4.9627,chair,2026-05-30T15:44:49.447Z
26,1.5,1.4877,chair,2026-05-30T15:45:02.886Z
27,0.5,0.4780,chair,2026-05-30T15:45:20.685Z
28,2.0,2.0149,chair,2026-05-30T15:45:37.744Z
29,1.5,1.5301,chair,2026-05-30T15:45:47.370Z
30,2.0,1.9669,chair,2026-05-30T15:45:57.271Z
