trial_id,participant,condition,trial_number_within_condition,starting_distance_m,hesitation_count,timestamp,notes
1,P1,steps,1,5.0,1,4:03pm,
2,P1,steps,2,7.0,1,4:05pm,
3,P1,steps,3,7.0,0,4:08pm,
4,P1,steps,4,3.0,0,4:11pm,
5,P1,steps,5,5.0,0,4:12pm,
6,P1,steps,6,5.0,0,4:14pm,
7,P1,steps,7,3.0,0,4:18pm,
8,P1,steps,8,7.0,0,4:20pm,
9,P1,steps,9,3.0,0,4:23pm,
10,P1,metres,1,5.0,2,4:35pm,
11,P1,metres,2,7.0,2,4:38pm,
12,P1,metres,3,3.0,1,4:40pm,
13,P1,metres,4,7.0,2,4:43pm,
14,P1,metres,5,7.0,1,4:45pm,
15,P1,metres,6,3.0,1,4:47pm,Almost bumped into chair
16,P1,metres,7,5.0,2,4:50pm,
17,P1,metres,8,3.0,2,4:51pm,
18,P1,metres,9,5.0,1,4:53pm,
1,P2,metres,1,3.0,5,5:31pm,bumped into obstacle
2,P2,metres,2,5.0,4,5:33pm,
3,P2,metres,3,5.0,3,5:34pm,
4,P2,metres,4,3.0,2,5:37pm,
5,P2,metres,5,7.0,4,5:39pm,
6,P2,metres,6,5.0,5,5:42pm,
7,P2,metres,7,7.0,5,5:46pm,
8,P2,metres,8,7.0,6,5:47pm,
9,P2,metres,9,3.0,2,5:49pm,
10,P2,steps,1,3.0,1,6:00pm,
11,P2,steps,2,7.0,1,6:02pm,
12,P2,steps,3,5.0,0,6:03pm,
13,P2,steps,4,3.0,0,6:07pm,
14,P2,steps,5,7.0,0,6:08pm,
15,P2,steps,6,5.0,0,6:10pm,
16,P2,steps,7,7.0,0,6:13pm,
17,P2,steps,8,3.0,0,6:15pm,
18,P2,steps,9,5.0,0,6:16pm,
1,P3,steps,1,5.0,2,1:21pm,
2,P3,steps,2,7.0,1,1:23pm,
3,P3,steps,3,7.0,1,1:24pm,
4,P3,steps,4,7.0,0,1:30pm,
5,P3,steps,5,5.0,0,1:31pm,
6,P3,steps,6,3.0,0,1:32pm,
7,P3,steps,7,3.0,0,1:35pm,
8,P3,steps,8,3.0,0,1:36pm,
9,P3,steps,9,5.0,1,1:37pm,
10,P3,metres,1,3.0,3,1:50pm,
11,P3,metres,2,5.0,4,1:52pm,
12,P3,metres,3,5.0,3,1:55pm,
13,P3,metres,4,3.0,2,2:03pm,
14,P3,metres,5,5.0,3,2:04pm,
15,P3,metres,6,7.0,3,2:06pm,
16,P3,metres,7,7.0,4,2:06pm,
17,P3,metres,8,7.0,2,2:08pm,
18,P3,metres,9,3.0,1,2:09pm,
1,P4,metres,1,5.0,2,3:07pm,
2,P4,metres,2,3.0,1,3:08pm,
3,P4,metres,3,7.0,1,3:09pm,
4,P4,metres,4,7.0,1,3:12pm,
5,P4,metres,5,5.0,2,3:13pm,
6,P4,metres,6,3.0,1,3:14pm,
7,P4,metres,7,5.0,1,3:17pm,
8,P4,metres,8,3.0,1,3:18pm,
9,P4,metres,9,7.0,1,3:19pm,
10,P4,steps,1,5.0,1,3:30pm,
11,P4,steps,2,5.0,0,3:31pm,
12,P4,steps,3,5.0,1,3:32pm,
13,P4,steps,4,3.0,0,3:35pm,
14,P4,steps,5,3.0,0,3:36pm,
15,P4,steps,6,7.0,0,3:37pm,
16,P4,steps,7,3.0,0,3:45pm,
17,P4,steps,8,7.0,0,3:46pm,
18,P4,steps,9,7.0,0,3:47pm,
1,P5,steps,1,5.0,1,4:34pm,
2,P5,steps,2,7.0,1,4:35pm,
3,P5,steps,3,3.0,1,4:36pm,
4,P5,steps,4,3.0,0,4:40pm,
5,P5,steps,5,5.0,0,4:41pm,
6,P5,steps,6,5.0,1,4:42pm,
7,P5,steps,7,3.0,0,4:46pm,
8,P5,steps,8,7.0,0,4:47pm,
9,P5,steps,9,7.0,0,4:48pm,
10,P5,metres,1,5.0,3,5:02pm,
11,P5,metres,2,3.0,2,5:04pm,
12,P5,metres,3,3.0,2,5:05pm,
13,P5,metres,4,3.0,1,5:08pm,
14,P5,metres,5,5.0,2,5:09pm,
15,P5,metres,6,5.0,2,5:10pm,
16,P5,metres,7,7.0,2,5:15pm,
17,P5,metres,8,7.0,2,5:16pm,
18,P5,metres,9,7.0,2,5:17pm,
