trial_id,participant,condition,target_distance_m,overshoot,stopping_error_m,timestamp,notes
1,P1,baseline,7.0,false,1.15,13:56,
2,P1,baseline,3.0,false,0.64,13:57,
3,P1,baseline,4.0,false,0.51,13:58,
4,P1,baseline,5.0,false,0.45,14:00,
5,P1,baseline,2.0,false,0.75,14:01,
6,P1,baseline,4.0,false,1.25,14:03,
7,P1,baseline,5.0,false,0.88,14:04,
8,P1,baseline,3.0,false,0.25,14:05,
9,P1,baseline,4.0,false,0.47,14:07,
10,P1,baseline,2.0,false,0.43,14:08,
11,P1,baseline,2.0,false,0.45,14:11,
12,P1,baseline,7.0,false,0.51,14:13,
13,P1,baseline,7.0,false,0.64,14:15,
14,P1,baseline,5.0,false,0.95,14:16,
15,P1,baseline,2.0,false,0.38,14:17,
16,P1,baseline,2.0,false,0.42,14:18,
17,P1,baseline,3.0,false,0.28,14:20,
18,P1,baseline,1.0,false,0.28,14:21,
19,P1,baseline,1.0,false,0.39,14:22,
20,P1,baseline,7.0,false,0.77,14:24,
21,P1,baseline,1.0,false,0.43,14:27,
22,P1,baseline,3.0,false,0.55,14:28,
23,P1,baseline,1.0,false,0.41,14:29,
24,P1,baseline,5.0,false,0.65,14:31,
25,P1,baseline,1.0,false,0.34,14:32,
26,P1,baseline,5.0,false,0.24,14:34,
27,P1,baseline,3.0,false,0.26,14:35,
28,P1,baseline,4.0,false,0.46,14:36,
29,P1,baseline,4.0,false,0.5,14:37,
30,P1,baseline,7.0,false,0.51,14:40,
31,P1,adaptive,2.0,false,0.42,14:56,
32,P1,adaptive,7.0,false,0.25,14:59,
33,P1,adaptive,2.0,false,0.41,15:00,
34,P1,adaptive,4.0,false,0.5,15:01,
35,P1,adaptive,4.0,false,0.45,15:02,
36,P1,adaptive,4.0,false,0.42,15:03,
37,P1,adaptive,2.0,false,0.56,15:04,
38,P1,adaptive,5.0,false,0.37,15:06,
39,P1,adaptive,3.0,false,0.41,15:08,
40,P1,adaptive,4.0,false,0.53,15:09,
41,P1,adaptive,5.0,false,0.57,15:13,
42,P1,adaptive,7.0,false,0.56,15:14,
43,P1,adaptive,3.0,false,0.5,15:15,
44,P1,adaptive,2.0,false,0.66,15:16,
45,P1,adaptive,3.0,false,0.47,15:17,
46,P1,adaptive,7.0,false,0.66,15:19,
47,P1,adaptive,1.0,false,0.47,15:21,
48,P1,adaptive,5.0,false,0.66,15:22,
49,P1,adaptive,1.0,false,0.43,15:24,
50,P1,adaptive,3.0,false,0.57,15:25,
51,P1,adaptive,7.0,false,0.48,15:31,
52,P1,adaptive,4.0,false,0.25,15:33,
53,P1,adaptive,7.0,false,0.61,15:34,
54,P1,adaptive,1.0,false,0.32,15:36,
55,P1,adaptive,5.0,false,0.71,15:37,
56,P1,adaptive,2.0,false,0.45,15:39,
57,P1,adaptive,5.0,false,0.47,15:40,
58,P1,adaptive,1.0,false,0.35,15:42,
59,P1,adaptive,1.0,false,0.33,15:43,
60,P1,adaptive,3.0,false,0.55,15:44,
1,P2,adaptive,3.0,false,0.55,13:38,
2,P2,adaptive,1.0,false,0.5,13:40,
3,P2,adaptive,1.0,false,0.52,13:41,
4,P2,adaptive,5.0,false,0.6,13:43,
5,P2,adaptive,4.0,false,0.63,13:45,
6,P2,adaptive,3.0,false,0.62,13:47,
7,P2,adaptive,4.0,false,0.42,13:48,
8,P2,adaptive,5.0,false,0.5,13:49,
9,P2,adaptive,4.0,false,0.64,13:50,
10,P2,adaptive,2.0,false,0.6,13:51,
11,P2,adaptive,2.0,false,0.66,13:55,
12,P2,adaptive,7.0,false,0.69,13:56,
13,P2,adaptive,1.0,false,0.55,13:57,
14,P2,adaptive,4.0,false,0.65,13:58,
15,P2,adaptive,3.0,false,0.54,13:59,
16,P2,adaptive,1.0,false,0.57,14:00,
17,P2,adaptive,2.0,false,0.57,14:01,
18,P2,adaptive,7.0,false,0.68,14:03,
19,P2,adaptive,2.0,false,0.61,14:05,
20,P2,adaptive,5.0,false,0.52,14:07,
21,P2,adaptive,5.0,false,0.6,14:09,
22,P2,adaptive,2.0,false,0.7,14:10,
23,P2,adaptive,7.0,false,0.64,14:11,
24,P2,adaptive,7.0,false,0.67,14:12,
25,P2,adaptive,5.0,false,0.66,14:13,
26,P2,adaptive,7.0,false,0.7,14:14,
27,P2,adaptive,1.0,false,0.57,14:15,
28,P2,adaptive,4.0,false,0.55,14:16,
29,P2,adaptive,3.0,false,0.69,14:17,
30,P2,adaptive,3.0,false,0.63,14:18,
31,P2,baseline,2.0,false,0.83,16:27,
32,P2,baseline,3.0,false,1.3,16:28,participant stopped early (before system announced stop)
33,P2,baseline,2.0,false,1.21,16:29,participant stopped early (before system announced stop)
34,P2,baseline,3.0,false,0.81,16:30,
35,P2,baseline,5.0,false,1.1,16:31,participant stopped early (before system announced stop)
36,P2,baseline,4.0,false,1.0,16:32,
37,P2,baseline,2.0,false,0.48,16:33,
38,P2,baseline,4.0,false,1.1,16:34,participant stopped early (before system announced stop)
39,P2,baseline,1.0,false,0.62,16:35,
40,P2,baseline,7.0,false,1.3,16:36,participant stopped early (before system announced stop)
41,P2,baseline,5.0,false,0.78,16:38,
