frame_id,scenario,timestamp,detection_latency_ms,fps,object_count
1,S3,2026-06-09T14:50:41.558Z,30.44,41.3,1
2,S3,2026-06-09T14:50:41.572Z,11.48,41.3,1
3,S3,2026-06-09T14:50:41.589Z,12.39,41.3,1
4,S3,2026-06-09T14:50:41.605Z,11.42,41.3,1
5,S3,2026-06-09T14:50:41.634Z,23.33,41.3,1
6,S3,2026-06-09T14:50:41.656Z,11.76,41.3,1
7,S3,2026-06-09T14:50:41.684Z,23.42,40.0,1
8,S3,2026-06-09T14:50:41.717Z,23.21,40.0,1
9,S3,2026-06-09T14:50:41.751Z,24.50,40.0,1
10,S3,2026-06-09T14:50:41.772Z,12.71,40.0,1
11,S3,2026-06-09T14:50:41.789Z,11.21,40.0,1
12,S3,2026-06-09T14:50:41.805Z,12.48,40.0,1
13,S3,2026-06-09T14:50:41.834Z,23.39,40.0,1
14,S3,2026-06-09T14:50:41.855Z,12.07,40.0,1
15,S3,2026-06-09T14:50:41.884Z,23.40,40.0,1
16,S3,2026-06-09T14:50:41.905Z,11.26,40.0,1
17,S3,2026-06-09T14:50:41.934Z,24.58,40.0,1
18,S3,2026-06-09T14:50:41.955Z,12.32,40.0,1
19,S3,2026-06-09T14:50:41.984Z,24.45,40.0,1
20,S3,2026-06-09T14:50:42.005Z,12.14,40.0,1
21,S3,2026-06-09T14:50:42.034Z,23.24,40.0,1
22,S3,2026-06-09T14:50:42.055Z,12.31,40.0,1
23,S3,2026-06-09T14:50:42.072Z,10.80,40.0,1
24,S3,2026-06-09T14:50:42.101Z,23.47,40.0,1
25,S3,2026-06-09T14:50:42.134Z,23.34,40.0,1
26,S3,2026-06-09T14:50:42.156Z,11.52,40.0,1
27,S3,2026-06-09T14:50:42.184Z,24.51,40.0,1
28,S3,2026-06-09T14:50:42.217Z,23.37,40.0,1
29,S3,2026-06-09T14:50:42.239Z,11.78,40.0,1
30,S3,2026-06-09T14:50:42.267Z,23.40,40.0,1
31,S3,2026-06-09T14:50:42.301Z,23.54,40.0,1
32,S3,2026-06-09T14:50:42.334Z,24.53,40.0,1
33,S3,2026-06-09T14:50:42.367Z,24.44,40.0,1
34,S3,2026-06-09T14:50:42.401Z,23.45,40.0,1
35,S3,2026-06-09T14:50:42.434Z,24.48,40.0,1
36,S3,2026-06-09T14:50:42.467Z,23.39,40.0,1
37,S3,2026-06-09T14:50:42.501Z,24.42,40.0,1
38,S3,2026-06-09T14:50:42.534Z,23.45,40.0,1
39,S3,2026-06-09T14:50:42.556Z,13.26,40.0,1
40,S3,2026-06-09T14:50:42.572Z,12.58,40.0,1
41,S3,2026-06-09T14:50:42.601Z,24.47,40.0,1
42,S3,2026-06-09T14:50:42.634Z,23.64,40.0,1
43,S3,2026-06-09T14:50:42.667Z,23.18,40.0,1
44,S3,2026-06-09T14:50:42.701Z,24.60,36.4,1
45,S3,2026-06-09T14:50:42.736Z,26.01,36.4,1
46,S3,2026-06-09T14:50:42.767Z,23.31,36.4,1
47,S3,2026-06-09T14:50:42.789Z,12.53,36.4,1
48,S3,2026-06-09T14:50:42.806Z,11.67,36.4,1
49,S3,2026-06-09T14:50:42.834Z,24.59,36.4,1
50,S3,2026-06-09T14:50:42.855Z,11.39,36.4,1
51,S3,2026-06-09T14:50:42.872Z,12.21,36.4,1
52,S3,2026-06-09T14:50:42.901Z,23.46,36.4,1
53,S3,2026-06-09T14:50:42.934Z,24.45,36.4,1
54,S3,2026-06-09T14:50:42.956Z,11.52,36.4,1
55,S3,2026-06-09T14:50:42.972Z,11.67,36.4,1
56,S3,2026-06-09T14:50:42.988Z,12.60,36.4,1
57,S3,2026-06-09T14:50:43.005Z,12.50,36.4,1
58,S3,2026-06-09T14:50:43.034Z,24.64,36.4,1
