frame_id,scenario,timestamp,detection_latency_ms,fps,object_count
1,S2,2026-06-09T14:39:28.813Z,15.55,49.2,1
2,S2,2026-06-09T14:39:28.843Z,28.08,49.2,1
3,S2,2026-06-09T14:39:28.872Z,24.45,49.2,1
4,S2,2026-06-09T14:39:28.905Z,23.69,49.2,1
5,S2,2026-06-09T14:39:28.926Z,12.14,49.2,1
6,S2,2026-06-09T14:39:28.943Z,12.04,49.2,1
7,S2,2026-06-09T14:39:28.972Z,23.44,49.2,1
8,S2,2026-06-09T14:39:28.993Z,11.95,49.2,1
9,S2,2026-06-09T14:39:29.010Z,10.85,49.2,1
10,S2,2026-06-09T14:39:29.026Z,11.72,49.2,1
11,S2,2026-06-09T14:39:29.055Z,23.36,49.2,1
12,S2,2026-06-09T14:39:29.076Z,11.14,49.2,1
13,S2,2026-06-09T14:39:29.093Z,11.95,49.2,1
14,S2,2026-06-09T14:39:29.110Z,10.96,49.2,1
15,S2,2026-06-09T14:39:29.126Z,12.04,49.2,1
16,S2,2026-06-09T14:39:29.143Z,11.02,49.2,1
17,S2,2026-06-09T14:39:29.160Z,10.98,49.2,1
18,S2,2026-06-09T14:39:29.176Z,12.09,49.2,1
19,S2,2026-06-09T14:39:29.205Z,23.29,49.2,1
20,S2,2026-06-09T14:39:29.239Z,23.28,49.2,1
21,S2,2026-06-09T14:39:29.260Z,11.37,49.2,1
22,S2,2026-06-09T14:39:29.277Z,12.30,49.2,1
23,S2,2026-06-09T14:39:29.293Z,11.85,49.2,1
24,S2,2026-06-09T14:39:29.310Z,10.82,49.2,1
25,S2,2026-06-09T14:39:29.326Z,11.88,49.2,1
26,S2,2026-06-09T14:39:29.343Z,11.75,49.2,1
27,S2,2026-06-09T14:39:29.360Z,11.80,49.2,1
28,S2,2026-06-09T14:39:29.376Z,10.99,49.2,1
29,S2,2026-06-09T14:39:29.393Z,11.94,49.2,1
30,S2,2026-06-09T14:39:29.422Z,23.42,49.2,1
31,S2,2026-06-09T14:39:29.443Z,11.31,47.2,1
32,S2,2026-06-09T14:39:29.460Z,11.95,47.2,1
33,S2,2026-06-09T14:39:29.477Z,11.06,47.2,1
34,S2,2026-06-09T14:39:29.506Z,24.46,47.2,1
35,S2,2026-06-09T14:39:29.526Z,11.06,47.2,1
36,S2,2026-06-09T14:39:29.543Z,11.81,47.2,1
37,S2,2026-06-09T14:39:29.560Z,10.77,47.2,1
38,S2,2026-06-09T14:39:29.576Z,11.94,47.2,1
